date,open,high,low,close,volume
2015-01-02,51.7873,52.1017,51.2443,51.692,11139757
2015-01-05,51.3586,51.4062,49.8534,50.063,20945436
2015-01-06,50.1868,50.2726,48.1386,48.3005,31989329
2015-01-07,49.0722,49.1103,48.2195,48.7483,27890770
2015-01-08,49.3199,49.6152,49.0627,49.4818,17470338
2015-01-09,49.701,49.7676,48.3672,48.3767,20180176
2015-01-12,48.4148,48.5006,47.6622,47.9957,22725831
2015-01-13,48.2624,48.8054,47.2621,47.6527,23201793
2015-01-14,46.6429,46.7762,45.5092,46.7286,44630812
2015-01-15,45.7855,45.9569,44.6899,44.9947,48799351
2015-01-16,44.4898,45.433,44.3946,45.3568,32306956
2015-01-20,45.7093,45.7283,44.9185,45.0233,25569191
2015-01-21,45.1281,45.9474,44.9185,45.4806,22873308
2015-01-22,45.976,47.3955,45.6616,47.224,29652588
2015-01-23,47.1478,47.405,46.3047,46.319,18984656
2015-01-26,46.1856,46.7096,46.1189,46.5762,13817464
2015-01-27,45.7664,46.3475,45.5092,46.0236,16401197
2015-01-28,46.0808,46.2142,44.8804,44.8804,26065266
2015-01-29,44.8518,45.5284,44.6184,45.3759,19865726
2015-01-30,44.8709,45.4807,44.6898,44.7375,23729785
2015-02-02,44.9757,45.5188,44.6898,45.4712,19178244
2015-02-03,46.1763,46.9005,46.0715,46.5765,25221080
2015-02-04,46.2811,46.6909,46.0239,46.1192,19581789
2015-02-05,46.4431,46.6909,45.9476,46.2526,15481918
2015-02-06,47.072,47.5961,46.7481,46.8243,25881521
2015-02-09,46.5575,47.1768,46.1573,46.891,16364922
2015-02-10,47.6438,47.7009,46.8243,47.0625,17223700
2015-02-11,46.8338,47.5294,46.7957,47.3388,13079476
2015-02-12,47.5866,48.6824,47.4246,48.4918,28926844
2015-02-13,48.6062,49.0588,48.4156,48.7872,17448490
2015-02-17,48.549,49.3589,48.5013,49.2541,14569354
2015-02-18,48.8825,49.2351,48.6824,48.9968,17666811
2015-02-19,48.8634,49.1112,48.6347,48.711,11272045
2015-02-20,48.6443,49.4637,47.9868,49.3399,19429401
2015-02-23,49.1017,49.1112,48.3584,48.9015,15282586
2015-02-24,48.9968,49.8354,48.9682,49.4542,20250876
2015-02-25,49.216,49.6543,49.1207,49.6353,10666008
2015-02-26,49.5781,50.0164,49.4637,49.9402,16358149
